nohup: ignoring input
--- input variables ---
model path : results/variable_0/loss_0.0452_acc_65.51%_epoch_11.pt
learning rate : 0.010000
image size : 256
batch size : 32
epochs : 100
use cuda device : cuda:0
data root path : /HDD2/image_net/ILSVRC/Data/CLS-LOC/
class name path : /HDD2/image_net/LOC_synset_mapping.txt

Train Epoch 1 | [64/732000 (0.01%)] Loss 0.0116, Accuaracy 76.56%
Train Epoch 1 | [12864/732000 (1.76%)] Loss 0.0456, Accuaracy 37.61%
Train Epoch 1 | [25664/732000 (3.51%)] Loss 0.0443, Accuaracy 37.99%
Train Epoch 1 | [38464/732000 (5.25%)] Loss 0.0436, Accuaracy 38.51%
Train Epoch 1 | [51264/732000 (7.00%)] Loss 0.0430, Accuaracy 39.20%
Train Epoch 1 | [64064/732000 (8.75%)] Loss 0.0426, Accuaracy 39.68%
Train Epoch 1 | [76864/732000 (10.50%)] Loss 0.0421, Accuaracy 40.21%
Train Epoch 1 | [89664/732000 (12.25%)] Loss 0.0418, Accuaracy 40.59%
Train Epoch 1 | [102464/732000 (14.00%)] Loss 0.0415, Accuaracy 40.86%
Train Epoch 1 | [115264/732000 (15.75%)] Loss 0.0413, Accuaracy 41.06%
Train Epoch 1 | [128064/732000 (17.50%)] Loss 0.0411, Accuaracy 41.36%
Train Epoch 1 | [140864/732000 (19.24%)] Loss 0.0409, Accuaracy 41.59%
Train Epoch 4 | [204864/732000 (27.99%)] Loss 0.0206, Accuaracy 67.19%
Train Epoch 4 | [217664/732000 (29.74%)] Loss 0.0206, Accuaracy 67.16%
Train Epoch 4 | [230464/732000 (31.48%)] Loss 0.0206, Accuaracy 67.22%
Train Epoch 4 | [243264/732000 (33.23%)] Loss 0.0206, Accuaracy 67.18%
Train Epoch 4 | [256064/732000 (34.98%)] Loss 0.0206, Accuaracy 67.20%
Train Epoch 4 | [268864/732000 (36.73%)] Loss 0.0206, Accuaracy 67.18%
Train Epoch 4 | [281664/732000 (38.48%)] Loss 0.0206, Accuaracy 67.15%
Train Epoch 4 | [294464/732000 (40.23%)] Loss 0.0206, Accuaracy 67.16%
Train Epoch 4 | [307264/732000 (41.98%)] Loss 0.0206, Accuaracy 67.18%
Train Epoch 4 | [320064/732000 (43.72%)] Loss 0.0206, Accuaracy 67.19%
Train Epoch 4 | [332864/732000 (45.47%)] Loss 0.0206, Accuaracy 67.20%
Train Epoch 4 | [345664/732000 (47.22%)] Loss 0.0206, Accuaracy 67.20%
Train Epoch 4 | [358464/732000 (48.97%)] Loss 0.0206, Accuaracy 67.21%
Train Epoch 4 | [371264/732000 (50.72%)] Loss 0.0206, Accuaracy 67.22%
Train Epoch 4 | [384064/732000 (52.47%)] Loss 0.0206, Accuaracy 67.20%
Train Epoch 4 | [396864/732000 (54.22%)] Loss 0.0206, Accuaracy 67.19%
Train Epoch 4 | [409664/732000 (55.97%)] Loss 0.0206, Accuaracy 67.18%
Train Epoch 4 | [422464/732000 (57.71%)] Loss 0.0206, Accuaracy 67.18%
Train Epoch 4 | [435264/732000 (59.46%)] Loss 0.0207, Accuaracy 67.16%
Train Epoch 4 | [448064/732000 (61.21%)] Loss 0.0207, Accuaracy 67.16%
Train Epoch 4 | [460864/732000 (62.96%)] Loss 0.0207, Accuaracy 67.16%
Train Epoch 4 | [473664/732000 (64.71%)] Loss 0.0207, Accuaracy 67.18%
Train Epoch 4 | [486464/732000 (66.46%)] Loss 0.0207, Accuaracy 67.19%
Train Epoch 4 | [499264/732000 (68.21%)] Loss 0.0207, Accuaracy 67.17%
Train Epoch 4 | [512064/732000 (69.95%)] Loss 0.0207, Accuaracy 67.18%
Train Epoch 4 | [524864/732000 (71.70%)] Loss 0.0207, Accuaracy 67.18%
Train Epoch 4 | [537664/732000 (73.45%)] Loss 0.0207, Accuaracy 67.17%
Train Epoch 4 | [550464/732000 (75.20%)] Loss 0.0207, Accuaracy 67.16%
Train Epoch 4 | [563264/732000 (76.95%)] Loss 0.0207, Accuaracy 67.15%
Train Epoch 4 | [576064/732000 (78.70%)] Loss 0.0207, Accuaracy 67.17%
Train Epoch 4 | [588864/732000 (80.45%)] Loss 0.0207, Accuaracy 67.17%
Train Epoch 4 | [601664/732000 (82.19%)] Loss 0.0207, Accuaracy 67.17%
Train Epoch 4 | [614464/732000 (83.94%)] Loss 0.0207, Accuaracy 67.17%
Train Epoch 4 | [627264/732000 (85.69%)] Loss 0.0207, Accuaracy 67.16%
Train Epoch 4 | [640064/732000 (87.44%)] Loss 0.0207, Accuaracy 67.18%
Train Epoch 4 | [652864/732000 (89.19%)] Loss 0.0207, Accuaracy 67.19%
Train Epoch 4 | [665664/732000 (90.94%)] Loss 0.0207, Accuaracy 67.19%
Train Epoch 4 | [678464/732000 (92.69%)] Loss 0.0207, Accuaracy 67.19%
Train Epoch 4 | [691264/732000 (94.43%)] Loss 0.0207, Accuaracy 67.18%
Train Epoch 4 | [704064/732000 (96.18%)] Loss 0.0207, Accuaracy 67.18%
Train Epoch 4 | [716864/732000 (97.93%)] Loss 0.0207, Accuaracy 67.19%
Train Epoch 4 | [729664/732000 (99.68%)] Loss 0.0207, Accuaracy 67.20%
Train Epoch 4 | Avarage Loss 0.0207, Average Accuracy 67.20%
Valid Epoch 4 | [32/50000 (0.06%)] Loss 0.0584, Accuaracy 62.50%
Valid Epoch 4 | [1632/50000 (3.26%)] Loss 0.0523, Accuaracy 61.83%
Valid Epoch 4 | [3232/50000 (6.46%)] Loss 0.0527, Accuaracy 61.45%
Valid Epoch 4 | [4832/50000 (9.66%)] Loss 0.0535, Accuaracy 60.60%
Valid Epoch 4 | [6432/50000 (12.86%)] Loss 0.0534, Accuaracy 60.60%
Valid Epoch 4 | [8032/50000 (16.06%)] Loss 0.0533, Accuaracy 60.42%
Valid Epoch 4 | [9632/50000 (19.26%)] Loss 0.0533, Accuaracy 60.27%
Valid Epoch 4 | [11232/50000 (22.46%)] Loss 0.0530, Accuaracy 60.37%
Valid Epoch 4 | [12832/50000 (25.66%)] Loss 0.0529, Accuaracy 60.27%
Valid Epoch 4 | [14432/50000 (28.86%)] Loss 0.0526, Accuaracy 60.50%
Valid Epoch 4 | [16032/50000 (32.06%)] Loss 0.0524, Accuaracy 60.73%
Valid Epoch 4 | [17632/50000 (35.26%)] Loss 0.0522, Accuaracy 60.88%
Valid Epoch 4 | [19232/50000 (38.46%)] Loss 0.0524, Accuaracy 60.74%
Valid Epoch 4 | [20832/50000 (41.66%)] Loss 0.0524, Accuaracy 60.73%
Valid Epoch 4 | [22432/50000 (44.86%)] Loss 0.0524, Accuaracy 60.80%
Valid Epoch 4 | [24032/50000 (48.06%)] Loss 0.0525, Accuaracy 60.84%
Valid Epoch 4 | [25632/50000 (51.26%)] Loss 0.0524, Accuaracy 60.89%
Valid Epoch 4 | [27232/50000 (54.46%)] Loss 0.0524, Accuaracy 60.92%
Valid Epoch 4 | [28832/50000 (57.66%)] Loss 0.0523, Accuaracy 60.98%
Valid Epoch 4 | [30432/50000 (60.86%)] Loss 0.0521, Accuaracy 60.99%
Valid Epoch 4 | [32032/50000 (64.06%)] Loss 0.0521, Accuaracy 61.02%
Valid Epoch 4 | [33632/50000 (67.26%)] Loss 0.0521, Accuaracy 61.04%
Valid Epoch 4 | [35232/50000 (70.46%)] Loss 0.0521, Accuaracy 60.99%
Valid Epoch 4 | [36832/50000 (73.66%)] Loss 0.0521, Accuaracy 61.04%
Valid Epoch 4 | [38432/50000 (76.86%)] Loss 0.0520, Accuaracy 61.08%
Valid Epoch 4 | [40032/50000 (80.06%)] Loss 0.0521, Accuaracy 61.09%
Valid Epoch 4 | [41632/50000 (83.26%)] Loss 0.0522, Accuaracy 60.96%
Valid Epoch 4 | [43232/50000 (86.46%)] Loss 0.0522, Accuaracy 60.94%
Valid Epoch 4 | [44832/50000 (89.66%)] Loss 0.0522, Accuaracy 61.02%
Valid Epoch 4 | [46432/50000 (92.86%)] Loss 0.0520, Accuaracy 61.13%
Valid Epoch 4 | [48032/50000 (96.06%)] Loss 0.0519, Accuaracy 61.19%
Valid Epoch 4 | [49632/50000 (99.26%)] Loss 0.0519, Accuaracy 61.20%
Valid Epoch 4 | Avarage Loss 0.0519, Average Accuracy 61.21%
Train Epoch 5 | [64/732000 (0.01%)] Loss 0.0153, Accuaracy 70.31%
Train Epoch 5 | [12864/732000 (1.76%)] Loss 0.0181, Accuaracy 70.73%
Train Epoch 5 | [25664/732000 (3.51%)] Loss 0.0183, Accuaracy 70.51%
Train Epoch 5 | [38464/732000 (5.25%)] Loss 0.0182, Accuaracy 70.62%
Train Epoch 5 | [51264/732000 (7.00%)] Loss 0.0182, Accuaracy 70.51%
Train Epoch 5 | [64064/732000 (8.75%)] Loss 0.0183, Accuaracy 70.33%
Train Epoch 5 | [76864/732000 (10.50%)] Loss 0.0184, Accuaracy 70.29%
Train Epoch 5 | [89664/732000 (12.25%)] Loss 0.0185, Accuaracy 70.30%
Train Epoch 5 | [102464/732000 (14.00%)] Loss 0.0186, Accuaracy 70.14%
Train Epoch 5 | [115264/732000 (15.75%)] Loss 0.0185, Accuaracy 70.18%
Train Epoch 5 | [128064/732000 (17.50%)] Loss 0.0186, Accuaracy 70.11%
Train Epoch 5 | [140864/732000 (19.24%)] Loss 0.0186, Accuaracy 70.03%
Train Epoch 5 | [153664/732000 (20.99%)] Loss 0.0186, Accuaracy 69.98%
Train Epoch 5 | [166464/732000 (22.74%)] Loss 0.0186, Accuaracy 69.95%
Train Epoch 5 | [179264/732000 (24.49%)] Loss 0.0187, Accuaracy 69.95%
Train Epoch 5 | [192064/732000 (26.24%)] Loss 0.0187, Accuaracy 69.93%
Train Epoch 5 | [204864/732000 (27.99%)] Loss 0.0187, Accuaracy 69.87%
Train Epoch 5 | [217664/732000 (29.74%)] Loss 0.0187, Accuaracy 69.83%
Train Epoch 5 | [230464/732000 (31.48%)] Loss 0.0187, Accuaracy 69.81%
Train Epoch 5 | [243264/732000 (33.23%)] Loss 0.0187, Accuaracy 69.82%
Train Epoch 5 | [256064/732000 (34.98%)] Loss 0.0187, Accuaracy 69.82%
Train Epoch 5 | [268864/732000 (36.73%)] Loss 0.0187, Accuaracy 69.80%
Train Epoch 5 | [281664/732000 (38.48%)] Loss 0.0188, Accuaracy 69.78%
Train Epoch 5 | [294464/732000 (40.23%)] Loss 0.0188, Accuaracy 69.79%
Train Epoch 5 | [307264/732000 (41.98%)] Loss 0.0188, Accuaracy 69.79%
Train Epoch 5 | [320064/732000 (43.72%)] Loss 0.0188, Accuaracy 69.75%
Train Epoch 5 | [332864/732000 (45.47%)] Loss 0.0188, Accuaracy 69.75%
Train Epoch 5 | [345664/732000 (47.22%)] Loss 0.0188, Accuaracy 69.76%
Train Epoch 5 | [358464/732000 (48.97%)] Loss 0.0188, Accuaracy 69.73%
Train Epoch 5 | [371264/732000 (50.72%)] Loss 0.0188, Accuaracy 69.71%
Train Epoch 5 | [384064/732000 (52.47%)] Loss 0.0188, Accuaracy 69.69%
Train Epoch 5 | [396864/732000 (54.22%)] Loss 0.0188, Accuaracy 69.69%
Train Epoch 5 | [409664/732000 (55.97%)] Loss 0.0189, Accuaracy 69.69%
Train Epoch 5 | [422464/732000 (57.71%)] Loss 0.0189, Accuaracy 69.69%
Train Epoch 5 | [435264/732000 (59.46%)] Loss 0.0189, Accuaracy 69.68%
Train Epoch 5 | [448064/732000 (61.21%)] Loss 0.0189, Accuaracy 69.68%
Train Epoch 5 | [460864/732000 (62.96%)] Loss 0.0189, Accuaracy 69.68%
Train Epoch 5 | [473664/732000 (64.71%)] Loss 0.0189, Accuaracy 69.67%
Train Epoch 5 | [486464/732000 (66.46%)] Loss 0.0189, Accuaracy 69.66%
Train Epoch 5 | [499264/732000 (68.21%)] Loss 0.0189, Accuaracy 69.68%
Train Epoch 5 | [512064/732000 (69.95%)] Loss 0.0189, Accuaracy 69.66%
Train Epoch 5 | [524864/732000 (71.70%)] Loss 0.0189, Accuaracy 69.65%
Train Epoch 5 | [537664/732000 (73.45%)] Loss 0.0189, Accuaracy 69.63%
Train Epoch 5 | [550464/732000 (75.20%)] Loss 0.0189, Accuaracy 69.62%
Train Epoch 5 | [563264/732000 (76.95%)] Loss 0.0189, Accuaracy 69.61%
Train Epoch 5 | [576064/732000 (78.70%)] Loss 0.0189, Accuaracy 69.61%
Train Epoch 5 | [588864/732000 (80.45%)] Loss 0.0189, Accuaracy 69.60%
Train Epoch 5 | [601664/732000 (82.19%)] Loss 0.0189, Accuaracy 69.60%
Train Epoch 5 | [614464/732000 (83.94%)] Loss 0.0189, Accuaracy 69.60%
Train Epoch 5 | [627264/732000 (85.69%)] Loss 0.0189, Accuaracy 69.58%
Train Epoch 5 | [640064/732000 (87.44%)] Loss 0.0189, Accuaracy 69.57%
Train Epoch 5 | [652864/732000 (89.19%)] Loss 0.0190, Accuaracy 69.57%
Train Epoch 5 | [665664/732000 (90.94%)] Loss 0.0190, Accuaracy 69.56%
Train Epoch 5 | [678464/732000 (92.69%)] Loss 0.0190, Accuaracy 69.55%
Train Epoch 5 | [691264/732000 (94.43%)] Loss 0.0189, Accuaracy 69.56%
Train Epoch 5 | [704064/732000 (96.18%)] Loss 0.0189, Accuaracy 69.57%
Train Epoch 5 | [716864/732000 (97.93%)] Loss 0.0189, Accuaracy 69.57%
Train Epoch 5 | [729664/732000 (99.68%)] Loss 0.0190, Accuaracy 69.56%
Train Epoch 5 | Avarage Loss 0.0189, Average Accuracy 69.56%
Valid Epoch 5 | [32/50000 (0.06%)] Loss 0.0508, Accuaracy 65.62%
Valid Epoch 5 | [1632/50000 (3.26%)] Loss 0.0496, Accuaracy 62.19%
Valid Epoch 5 | [3232/50000 (6.46%)] Loss 0.0486, Accuaracy 62.53%
Valid Epoch 5 | [4832/50000 (9.66%)] Loss 0.0481, Accuaracy 62.96%
Valid Epoch 5 | [6432/50000 (12.86%)] Loss 0.0484, Accuaracy 63.14%
Valid Epoch 5 | [8032/50000 (16.06%)] Loss 0.0480, Accuaracy 63.50%
Valid Epoch 5 | [9632/50000 (19.26%)] Loss 0.0480, Accuaracy 63.50%
Valid Epoch 5 | [11232/50000 (22.46%)] Loss 0.0480, Accuaracy 63.76%
Valid Epoch 5 | [12832/50000 (25.66%)] Loss 0.0479, Accuaracy 63.86%
Valid Epoch 5 | [14432/50000 (28.86%)] Loss 0.0479, Accuaracy 63.84%
Valid Epoch 5 | [16032/50000 (32.06%)] Loss 0.0480, Accuaracy 63.75%
Valid Epoch 5 | [17632/50000 (35.26%)] Loss 0.0479, Accuaracy 63.86%
Valid Epoch 5 | [19232/50000 (38.46%)] Loss 0.0480, Accuaracy 63.90%
Valid Epoch 5 | [20832/50000 (41.66%)] Loss 0.0478, Accuaracy 63.99%
Valid Epoch 5 | [22432/50000 (44.86%)] Loss 0.0477, Accuaracy 64.10%
Valid Epoch 5 | [24032/50000 (48.06%)] Loss 0.0476, Accuaracy 64.16%
Valid Epoch 5 | [25632/50000 (51.26%)] Loss 0.0477, Accuaracy 64.08%
Valid Epoch 5 | [27232/50000 (54.46%)] Loss 0.0479, Accuaracy 63.94%
Valid Epoch 5 | [28832/50000 (57.66%)] Loss 0.0480, Accuaracy 63.86%
Valid Epoch 5 | [30432/50000 (60.86%)] Loss 0.0479, Accuaracy 63.94%
Valid Epoch 5 | [32032/50000 (64.06%)] Loss 0.0480, Accuaracy 63.90%
Valid Epoch 5 | [33632/50000 (67.26%)] Loss 0.0479, Accuaracy 63.93%
Valid Epoch 5 | [35232/50000 (70.46%)] Loss 0.0480, Accuaracy 63.87%
Valid Epoch 5 | [36832/50000 (73.66%)] Loss 0.0480, Accuaracy 63.92%
Valid Epoch 5 | [38432/50000 (76.86%)] Loss 0.0480, Accuaracy 63.88%
Valid Epoch 5 | [40032/50000 (80.06%)] Loss 0.0479, Accuaracy 63.88%
Valid Epoch 5 | [41632/50000 (83.26%)] Loss 0.0480, Accuaracy 63.83%
Valid Epoch 5 | [43232/50000 (86.46%)] Loss 0.0480, Accuaracy 63.88%
Valid Epoch 5 | [44832/50000 (89.66%)] Loss 0.0481, Accuaracy 63.77%
Valid Epoch 5 | [46432/50000 (92.86%)] Loss 0.0481, Accuaracy 63.77%
Valid Epoch 5 | [48032/50000 (96.06%)] Loss 0.0482, Accuaracy 63.73%
Valid Epoch 5 | [49632/50000 (99.26%)] Loss 0.0482, Accuaracy 63.71%
Valid Epoch 5 | Avarage Loss 0.0482, Average Accuracy 63.71%
Train Epoch 6 | [64/732000 (0.01%)] Loss 0.0135, Accuaracy 75.00%
Train Epoch 6 | [12864/732000 (1.76%)] Loss 0.0166, Accuaracy 72.85%
Train Epoch 6 | [25664/732000 (3.51%)] Loss 0.0166, Accuaracy 72.85%
Train Epoch 6 | [38464/732000 (5.25%)] Loss 0.0167, Accuaracy 72.64%
Train Epoch 6 | [51264/732000 (7.00%)] Loss 0.0167, Accuaracy 72.64%
Train Epoch 6 | [64064/732000 (8.75%)] Loss 0.0168, Accuaracy 72.56%
Train Epoch 6 | [76864/732000 (10.50%)] Loss 0.0169, Accuaracy 72.38%
Train Epoch 6 | [89664/732000 (12.25%)] Loss 0.0169, Accuaracy 72.38%
Train Epoch 6 | [102464/732000 (14.00%)] Loss 0.0169, Accuaracy 72.32%
Train Epoch 6 | [115264/732000 (15.75%)] Loss 0.0169, Accuaracy 72.26%
Train Epoch 6 | [128064/732000 (17.50%)] Loss 0.0169, Accuaracy 72.23%
Train Epoch 6 | [140864/732000 (19.24%)] Loss 0.0169, Accuaracy 72.19%
Train Epoch 6 | [153664/732000 (20.99%)] Loss 0.0170, Accuaracy 72.12%
Train Epoch 6 | [166464/732000 (22.74%)] Loss 0.0170, Accuaracy 72.11%
Train Epoch 6 | [179264/732000 (24.49%)] Loss 0.0170, Accuaracy 72.09%
Train Epoch 6 | [192064/732000 (26.24%)] Loss 0.0170, Accuaracy 72.05%
Train Epoch 6 | [204864/732000 (27.99%)] Loss 0.0170, Accuaracy 72.05%
Train Epoch 6 | [217664/732000 (29.74%)] Loss 0.0170, Accuaracy 72.04%
Train Epoch 6 | [230464/732000 (31.48%)] Loss 0.0171, Accuaracy 71.97%
Train Epoch 6 | [243264/732000 (33.23%)] Loss 0.0171, Accuaracy 71.92%
Train Epoch 6 | [256064/732000 (34.98%)] Loss 0.0171, Accuaracy 71.91%
Train Epoch 6 | [268864/732000 (36.73%)] Loss 0.0171, Accuaracy 71.90%
Train Epoch 6 | [281664/732000 (38.48%)] Loss 0.0172, Accuaracy 71.89%
Train Epoch 6 | [294464/732000 (40.23%)] Loss 0.0172, Accuaracy 71.85%
Train Epoch 6 | [307264/732000 (41.98%)] Loss 0.0172, Accuaracy 71.81%
Train Epoch 6 | [320064/732000 (43.72%)] Loss 0.0172, Accuaracy 71.80%
Train Epoch 6 | [332864/732000 (45.47%)] Loss 0.0172, Accuaracy 71.79%
Train Epoch 6 | [345664/732000 (47.22%)] Loss 0.0173, Accuaracy 71.77%
Train Epoch 6 | [358464/732000 (48.97%)] Loss 0.0173, Accuaracy 71.76%
Train Epoch 6 | [371264/732000 (50.72%)] Loss 0.0173, Accuaracy 71.75%
Train Epoch 6 | [384064/732000 (52.47%)] Loss 0.0173, Accuaracy 71.74%
Train Epoch 6 | [396864/732000 (54.22%)] Loss 0.0173, Accuaracy 71.74%
Train Epoch 6 | [409664/732000 (55.97%)] Loss 0.0173, Accuaracy 71.71%
Train Epoch 6 | [422464/732000 (57.71%)] Loss 0.0173, Accuaracy 71.69%
Train Epoch 6 | [435264/732000 (59.46%)] Loss 0.0173, Accuaracy 71.66%
Train Epoch 6 | [448064/732000 (61.21%)] Loss 0.0174, Accuaracy 71.63%
Train Epoch 6 | [460864/732000 (62.96%)] Loss 0.0174, Accuaracy 71.61%
Train Epoch 6 | [473664/732000 (64.71%)] Loss 0.0174, Accuaracy 71.63%
Train Epoch 6 | [486464/732000 (66.46%)] Loss 0.0174, Accuaracy 71.61%
Train Epoch 6 | [499264/732000 (68.21%)] Loss 0.0174, Accuaracy 71.59%
Train Epoch 6 | [512064/732000 (69.95%)] Loss 0.0174, Accuaracy 71.60%
Train Epoch 6 | [524864/732000 (71.70%)] Loss 0.0174, Accuaracy 71.59%
Train Epoch 6 | [537664/732000 (73.45%)] Loss 0.0174, Accuaracy 71.58%
Train Epoch 6 | [550464/732000 (75.20%)] Loss 0.0174, Accuaracy 71.58%
Train Epoch 6 | [563264/732000 (76.95%)] Loss 0.0174, Accuaracy 71.56%
Train Epoch 6 | [576064/732000 (78.70%)] Loss 0.0174, Accuaracy 71.56%
Train Epoch 6 | [588864/732000 (80.45%)] Loss 0.0174, Accuaracy 71.55%
Train Epoch 6 | [601664/732000 (82.19%)] Loss 0.0174, Accuaracy 71.54%
Train Epoch 6 | [614464/732000 (83.94%)] Loss 0.0175, Accuaracy 71.53%
Train Epoch 6 | [627264/732000 (85.69%)] Loss 0.0175, Accuaracy 71.53%
Train Epoch 6 | [640064/732000 (87.44%)] Loss 0.0175, Accuaracy 71.53%
Train Epoch 6 | [652864/732000 (89.19%)] Loss 0.0175, Accuaracy 71.53%
Train Epoch 6 | [665664/732000 (90.94%)] Loss 0.0175, Accuaracy 71.52%
Train Epoch 6 | [678464/732000 (92.69%)] Loss 0.0175, Accuaracy 71.52%
Train Epoch 6 | [691264/732000 (94.43%)] Loss 0.0175, Accuaracy 71.52%
Train Epoch 6 | [704064/732000 (96.18%)] Loss 0.0175, Accuaracy 71.52%
Train Epoch 6 | [716864/732000 (97.93%)] Loss 0.0175, Accuaracy 71.51%
Train Epoch 6 | [729664/732000 (99.68%)] Loss 0.0175, Accuaracy 71.50%
Train Epoch 6 | Avarage Loss 0.0175, Average Accuracy 71.49%
Valid Epoch 6 | [32/50000 (0.06%)] Loss 0.0514, Accuaracy 62.50%
Valid Epoch 6 | [1632/50000 (3.26%)] Loss 0.0472, Accuaracy 64.52%
Valid Epoch 6 | [3232/50000 (6.46%)] Loss 0.0466, Accuaracy 64.79%
Valid Epoch 6 | [4832/50000 (9.66%)] Loss 0.0469, Accuaracy 64.82%
Valid Epoch 6 | [6432/50000 (12.86%)] Loss 0.0466, Accuaracy 65.07%
Valid Epoch 6 | [8032/50000 (16.06%)] Loss 0.0469, Accuaracy 64.59%
Valid Epoch 6 | [9632/50000 (19.26%)] Loss 0.0468, Accuaracy 64.97%
Valid Epoch 6 | [11232/50000 (22.46%)] Loss 0.0466, Accuaracy 65.22%
Valid Epoch 6 | [12832/50000 (25.66%)] Loss 0.0471, Accuaracy 64.92%
Valid Epoch 6 | [14432/50000 (28.86%)] Loss 0.0471, Accuaracy 64.93%
Valid Epoch 6 | [16032/50000 (32.06%)] Loss 0.0472, Accuaracy 64.81%
Valid Epoch 6 | [17632/50000 (35.26%)] Loss 0.0474, Accuaracy 64.56%
Valid Epoch 6 | [19232/50000 (38.46%)] Loss 0.0474, Accuaracy 64.61%
Valid Epoch 6 | [20832/50000 (41.66%)] Loss 0.0473, Accuaracy 64.54%
Valid Epoch 6 | [22432/50000 (44.86%)] Loss 0.0476, Accuaracy 64.41%
Valid Epoch 6 | [24032/50000 (48.06%)] Loss 0.0476, Accuaracy 64.31%
Valid Epoch 6 | [25632/50000 (51.26%)] Loss 0.0477, Accuaracy 64.30%
Valid Epoch 6 | [27232/50000 (54.46%)] Loss 0.0477, Accuaracy 64.34%
Valid Epoch 6 | [28832/50000 (57.66%)] Loss 0.0477, Accuaracy 64.25%
Valid Epoch 6 | [30432/50000 (60.86%)] Loss 0.0476, Accuaracy 64.35%
Valid Epoch 6 | [32032/50000 (64.06%)] Loss 0.0476, Accuaracy 64.31%
Valid Epoch 6 | [33632/50000 (67.26%)] Loss 0.0475, Accuaracy 64.22%
Valid Epoch 6 | [35232/50000 (70.46%)] Loss 0.0475, Accuaracy 64.24%
Valid Epoch 6 | [36832/50000 (73.66%)] Loss 0.0475, Accuaracy 64.22%
Valid Epoch 6 | [38432/50000 (76.86%)] Loss 0.0476, Accuaracy 64.15%
Valid Epoch 6 | [40032/50000 (80.06%)] Loss 0.0476, Accuaracy 64.20%
Valid Epoch 6 | [41632/50000 (83.26%)] Loss 0.0476, Accuaracy 64.27%
Valid Epoch 6 | [43232/50000 (86.46%)] Loss 0.0476, Accuaracy 64.25%
Valid Epoch 6 | [44832/50000 (89.66%)] Loss 0.0476, Accuaracy 64.25%
Valid Epoch 6 | [46432/50000 (92.86%)] Loss 0.0476, Accuaracy 64.25%
Valid Epoch 6 | [48032/50000 (96.06%)] Loss 0.0476, Accuaracy 64.28%
Valid Epoch 6 | [49632/50000 (99.26%)] Loss 0.0476, Accuaracy 64.29%
Valid Epoch 6 | Avarage Loss 0.0476, Average Accuracy 64.31%
Train Epoch 7 | [64/732000 (0.01%)] Loss 0.0181, Accuaracy 75.00%
Train Epoch 7 | [12864/732000 (1.76%)] Loss 0.0153, Accuaracy 74.46%
Train Epoch 7 | [25664/732000 (3.51%)] Loss 0.0155, Accuaracy 74.37%
Train Epoch 7 | [38464/732000 (5.25%)] Loss 0.0155, Accuaracy 74.36%
Train Epoch 7 | [51264/732000 (7.00%)] Loss 0.0156, Accuaracy 74.21%
Train Epoch 7 | [64064/732000 (8.75%)] Loss 0.0157, Accuaracy 74.08%
Train Epoch 7 | [76864/732000 (10.50%)] Loss 0.0156, Accuaracy 74.13%
Train Epoch 7 | [89664/732000 (12.25%)] Loss 0.0157, Accuaracy 74.00%
Train Epoch 7 | [102464/732000 (14.00%)] Loss 0.0157, Accuaracy 74.01%
Train Epoch 7 | [115264/732000 (15.75%)] Loss 0.0157, Accuaracy 73.88%
Train Epoch 7 | [128064/732000 (17.50%)] Loss 0.0158, Accuaracy 73.79%
Train Epoch 7 | [140864/732000 (19.24%)] Loss 0.0158, Accuaracy 73.70%
Train Epoch 7 | [153664/732000 (20.99%)] Loss 0.0159, Accuaracy 73.63%
Train Epoch 7 | [166464/732000 (22.74%)] Loss 0.0159, Accuaracy 73.67%
Train Epoch 7 | [179264/732000 (24.49%)] Loss 0.0159, Accuaracy 73.65%
Train Epoch 7 | [192064/732000 (26.24%)] Loss 0.0159, Accuaracy 73.61%
Train Epoch 7 | [204864/732000 (27.99%)] Loss 0.0159, Accuaracy 73.58%
Train Epoch 7 | [217664/732000 (29.74%)] Loss 0.0159, Accuaracy 73.58%
Train Epoch 7 | [230464/732000 (31.48%)] Loss 0.0159, Accuaracy 73.55%
Train Epoch 7 | [243264/732000 (33.23%)] Loss 0.0160, Accuaracy 73.55%
Train Epoch 7 | [256064/732000 (34.98%)] Loss 0.0159, Accuaracy 73.57%
Train Epoch 7 | [268864/732000 (36.73%)] Loss 0.0160, Accuaracy 73.55%
Train Epoch 7 | [281664/732000 (38.48%)] Loss 0.0160, Accuaracy 73.52%
Train Epoch 7 | [294464/732000 (40.23%)] Loss 0.0160, Accuaracy 73.49%
Train Epoch 7 | [307264/732000 (41.98%)] Loss 0.0160, Accuaracy 73.43%
Train Epoch 7 | [320064/732000 (43.72%)] Loss 0.0161, Accuaracy 73.39%
Train Epoch 7 | [332864/732000 (45.47%)] Loss 0.0161, Accuaracy 73.38%
Train Epoch 7 | [345664/732000 (47.22%)] Loss 0.0161, Accuaracy 73.38%
Train Epoch 7 | [358464/732000 (48.97%)] Loss 0.0161, Accuaracy 73.38%
Train Epoch 7 | [371264/732000 (50.72%)] Loss 0.0161, Accuaracy 73.35%
Train Epoch 7 | [384064/732000 (52.47%)] Loss 0.0161, Accuaracy 73.33%
Train Epoch 7 | [396864/732000 (54.22%)] Loss 0.0161, Accuaracy 73.31%
Train Epoch 7 | [409664/732000 (55.97%)] Loss 0.0161, Accuaracy 73.30%
Train Epoch 7 | [422464/732000 (57.71%)] Loss 0.0161, Accuaracy 73.29%
